job link,title,location
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44839096," [신입/경력] IT 개발자 및 블록체인 부문 별 채용공고",서울영등포구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44726958," 2023 상반기 백엔드/서버개발/앱개발/웹개발 신입 채용",서울강남구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44845015," 데이터 사이언티스트(주35시간, 풀재택) [AI/빅데이터 플랫폼]",서울강남구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44837599," [자가진단] 자연어처리(NLP) 분야 인공지능(AI)/머신러닝 개발자 (신입가능)",서울전체
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44737432," (주)솔리드이엔지 사무직 - 클라우드 기술 신입사원 모집",대전유성구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44599636," 법무법인(유한) 대륜 경영관리팀 데이터 분석관리자 채용",부산해운대구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44846160," 백엔드 개발자 추가 채용 [강남구]",서울전체
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44634585," 암빅데이터센터 빅데이터/인공지능 분석 연구원 모집",경기고양시 일산동구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44828184," 암빅데이터센터 연구원 채용 (보건의료정보관리사)",경기고양시 일산동구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44726572," LAB543에서 데이터분석가를 모십니다 (신입,경력)",서울중구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44676937," eDiscovery Project Manager(데이터 분석가) 인턴 채용",서울강남구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44788601," 세일즈포스 부문 (영업, PM/시스템설계, 개발, 컨설팅) 모집",서울영등포구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44832566," (주)디지털존 사업기획팀 개발자/기획자 분야별 모집",서울마포구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44697123," 인공지능/데이터분석 컨텐츠랩 연구원을 모집합니다.",서울동작구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44747842," 웹 풀스택 개발자",서울전체
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44812244," [라온시큐어] HR 담당자 (경력 5년이상)",서울강남구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44734842," Sr. Design Methodology and CAD Engineer",미국캘리포니아주
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44770448," [지니너스] 신입 / 경력사원 수시채용",서울송파구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44841287," 모바일 쿠폰 서비스 시스템 구축 및 운영",경기용인시 수지구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44791479," 메이크샵 사업부 대규모 인재 모집",서울금천구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44635492," 2023년 상반기 SW개발자 모집 (프론트엔드/백엔드)",경기성남시 분당구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44738137," (주4일 재택/출근) IT 백엔드 서버 개발자 신입/경력",서울강남구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44249449," [국비지원]2023년 취업연계 교육생모집(SW개발자)",부산남구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44617178," [클라우드네트웍스] 클라우드시스템 엔지니어 모집 (신입/경력)",서울강남구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44691628," 프론트엔드 개발자 신입 및 경력 사원 모집",서울송파구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44486107," 사업본부 분야 개발자 모집 공고",서울서초구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44573082," IT개발·데이터 정규직 채용 - 신입/경력",서울강남구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44841946," 한국조명ICT연구원 직원 채용 공고",경기부천시 원미구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44682655," 바이브온에서 함께 일할 데이터 분석가 모집",서울마포구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44844880," [아프리카TV] 서버운영 및 모니터링 (Operation Engineer)",서울서초구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44664788," [경력무관] 금융 & 비금융 Data Scientist 최고의 인재 모십니다",서울종로구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44816601," 데이터분석 및 관리 채용 (정규직)",서울송파구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44844214," [본사/여의도/정규직] KoDATA솔루션 빅데이터 수집/가공/분석",서울영등포구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44838732," 부산 최우수 스타트업  데이터 기획 및 분석가 (신입/경력) 채용",부산해운대구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44807305," [신사업부문] Data Analytics 데이터분석가",서울영등포구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44838550," [쿠팡] Security Engineer (Blue)",서울송파구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44499732," 웹개발자 채용",서울전체
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44779282," [DB하이텍] Foundry사업부 1월 경력사원 채용",경기부천시
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44822360," 서울대학교병원 데이터 엔지니어 채용",서울종로구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44759687," [네오플] 게임그래픽 직군 분야별 모집",제주제주시
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44826271," 디와이 그룹(DY INNOVATE) 수시채용(신입/경력) 모집",전북익산시
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44759747," [네오플] 데이터분석팀 게임 운영/이상탐지 데이터 분석가 모집",제주제주시
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44725486," [쿠팡] 리테일부문 사업분석가 (Business Analyst)",서울송파구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44583945," [쿠팡] 글로벌 이커머스 사업분석가 (Business Analyst)",서울송파구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44824420," [외국계/영어무관] Hardware/Firmware Engineer",경기고양시 덕양구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44734867," [Coupang] Back-end Engineer (FTS)",서울전체
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44789443," [이그니스] 랩노쉬 2023년 공개채용",서울성동구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44844406," Technical Advisor Lead (Fab - Thin Film area)",경기시흥시
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44833929," 국립암센터국제암대학원대학교 산학협력단 과제연구원 채용",경기고양시 일산동구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44794130," [고려은단] 업무자동화(RPA)/인프라 담당 사원 채용",서울강남구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44657869," [주38시간 근무/상장사] (주)엔텔스 기획/솔루션/플랫폼 개발자",서울강남구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44463179," 레드팀(모의해킹) 스페셜리스트 경력채용",서울강남구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44760266," [상장기업자회사/정규직/자율주행]티라로보틱스 상반기 공개채용",경기성남시 중원구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44658200," [주 38시간 근무/IT상장사] (주)엔텔스 AI 모델개발/데이터 분석",서울강남구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44676191," IT인프라 담당자 채용(운영/관리)",서울금천구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44735309," [JOYCITY] 데이터사이언티스트 모집 (신입/경력)",경기성남시 분당구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44726161," [앤씨앤/넥스트칩] 2023년 1월 연구소, 영업마케팅 각 부문 모집",경기성남시 분당구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44698338," 클라우드사업부문 Cloud Engineer(IaaS/PaaS) 모집",서울종로구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44722151," [코리아리서치] 2023년 상반기 공채 채용 (신입 및 경력)",서울서초구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44692538," [아이티노매즈] 미들웨어, 연구소 JAVA 개발자 등 정규직 채용",서울구로구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44839152," [수산아이앤티] 상반기 전 부문 채용",서울강남구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44811207," 고객 행동 로그 데이터 분석가 채용(신입,경력)",서울금천구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44820549," [KIS자산평가] 각 부문별 채용 공고",서울영등포구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44691433," [판교 IT 상장사] 대규모채용. 개발자/엔지니어 (전문연구요원)",경기성남시 분당구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44819328," 부국증권(주) 시스템트레이딩 지원 개발자(프로그래머) 채용",서울영등포구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44783353," 정부과제 제안 및 AI 데이터 구축 담당자 모집",서울금천구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44039792," 2023년 상반기 부문별 인재영입(경력)",서울강남구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44805222," 개발/엔지니어/정보보안 경력 직원 모집",서울강남구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44642005," (주)한샘 DT 부문 대규모 채용",서울마포구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44835427," 2023 예가람저축은행 디지털 뱅킹 경력 핵심인력 공개 채용",서울강남구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44841026," [신입/경력] 소프트웨어(SW) 우수인재 모집",서울강남구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44633135," ㈜한샘 IT부문 대규모 채용",서울마포구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44469642," [SWM] 자율주행/인공지능/안전요원/관제 부문별 [신입/경력]모집",경기안양시 동안구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44812596," 2023년 상반기 경력직 모집",경기성남시 수정구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=43982553," [미리디] Jr. 백엔드 개발자 - 이미지 프로세싱",서울전체
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44846683," [SK그룹 계열사 (주)더비즈] 23년 상반기 각 부문별 경력 채용",서울서초구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44820956," 현대자동차 그룹사 (주)지아이티 상반기 대규모 수시 채용",서울송파구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44768587," (주)리파인 각 부문별 신입/경력 채용공고",서울강남구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44721759," (주)싸이버로지텍 2023년 경력 채용",서울마포구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44776143," 각 부문별 신입 및 경력 채용",경기화성시
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44659375," [패스오더] 급성장중인 스타트업 ‘전직군’ 대규모 채용",서울강남구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44387898," 엠큐브테크놀로지 연구원 채용공고",서울강서구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44752480," [사업확장] 각 부문 신규 채용",경기성남시 분당구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44773452," [청주/이차전지] 씨메스 에너지본부(검사사업부) 전 분야 채용",충북청주시
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44830223," [대전유망중소기업] 2023 상반기 신입·경력직 채용(사업부/개발부)",대전유성구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44813024," (주)후이즈 개발 / 디자인 / SE / 운영 각 파트 정직원 채용",서울구로구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44768796," 각 부문별 신입.경력직원 채용",서울서대문구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44830132," 해외 유통사업분야 SI개발 경력사원 모집",아시아·중동몽골
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44470305," [직영] DYB최선어학원 각 부문 STAFF 모집",서울강남구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44821164," 한국전자기술연구원 비상근전문계약직 연구원 채용 공고",경기성남시 분당구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44798176," 공공 및 교육, 기업 SI 프로젝트 분석/설계/개발자 및 AA 모집",서울중구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44716261," [아이디어키] 2023년 각 부문 신입/경력 채용",서울강남구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44812426," SW 엔지니어, 소프트웨어 개발, 연구소 모집 (신입 및 경력)",서울마포구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44750331," KUNDAL(쿤달) 2023년 1기 공채",서울강남구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44702432," [알바천국] 백엔드 웹개발자 정규직 모집",서울강남구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44696483," [LG이노텍] 부문별 수시채용 모음",서울강서구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44828969," 2023년 상반기 공개채용",서울구로구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44769979," SFA 2023년 1차 채용 16개부문 (1월24일마감)",경기화성시
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44826197," [LX세미콘] 2023년 1월 경력사원 채용",서울강남구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44816496," [솔탑] 2023년 각 부문 신입 / 경력 모집",대전유성구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=42924332," [자율주행 로봇 개발 스타트업] ROS 개발자 채용 (보충역 편입 가능)",서울전체
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44687265," (주)KB저축은행 경력직 채용",서울송파구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44769864," 제일산업 부문별 모집요강(신입 및 경력 사원 모집)",경기화성시
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44754679," [카카오모빌리티] 부문별 수시채용 모음",경기성남시 분당구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44738716," JAVA 개발 SI 경력 채용 (PM / PL / 개발)",서울종로구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44830567," [ HNIX ] 각 부문별 신입/경력 채용공고",서울중구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44735469," 캐논코리아 안산사업소 각 부문 채용 (일반 / 연구)",경기안산시
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44784587," 2023년 정규직 채용(경영기획, 신용정보 보호/관리, 신용리스크컨설팅)",서울영등포구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44738581," 2023년 1월 NE능률 신입 및 경력(수시) 채용",서울마포구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44796054," [주 4.25일제] 자바 개발자 신입 및 경력 채용",서울마포구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44602342," [SK텔레콤] 부문별 수시채용 모음",서울종로구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44808611," 한국알박(주) 신입/경력 채용",경기평택시
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44658605," 2023년 상반기  대한상공회의소 충남인력개발원  취업역량 강화 교육생 모집",충남전체
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44763933," 솔로몬텍 본사/해외 분야별 IT인재 채용",서울영등포구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44829625," 현대글로비스 IT부문 경력직 채용",서울성동구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44784881," [AI Agent] AI 엔지니어 담당 (신입)",경기성남시 분당구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44770982," [면접비 지급] 검사 소프트웨어 개발자, 검사운영자 영입",경기화성시
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44752169," HR-Tech 스타트업 : 파이낸스/부동산 교육 콘텐츠(HRD) 기획",서울강남구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44747223," [블록체인] 백엔드 개발자",서울강남구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44808500," 2023 상반기 개발자 공채 모집합니다(신입/경력)",경기부천시
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44572395," [바램시스템] 2023년 연구소 신입/경력 정규직 사원 모집",대전유성구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44698995," [휴레이] 2022년 신입 경력 인재 적극 채용",서울강남구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44761292," IT개발·데이터(데이터분석가, 모델링 외 ) 채용 공고- 신입/경",서울강남구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44797700," AI 머신비전 영상데이터 처리 개발 채용",서울금천구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44808600," 2023년 상반기 SW 신입 개발자 채용",서울영등포구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44670537," [부산본사] JAVA 웹개발자 채용 공고",부산해운대구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44834085," 이엔유와 함께 성장할 개발자를 모집합니다.",대전유성구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44777512," [NC 자회사] ㈜NC ITS 업무시스템 개발 인원 채용",경기성남시 분당구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44743559," [부산/서울/전국]웹 및 앱 개발자 경력/신입 채용 공고",부산부산진구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44708538," 프론트엔드/백엔드 앱/웹 JAVA PHP 클라우드 서비스 개발자 모집",경기성남시 분당구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=41757583," 2022년 하반기 신입 및 경력 대규모 채용",서울금천구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44771114," 상반기 인공지능AI(교육/개발/영업/마케팅/컨설팅) 인재 채용",서울영등포구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44758875," [서울본사] 2023년 각 부문별 경력직 모집",서울구로구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44748869," SW 개발자 채용 (백/프론트엔드, AR/VR, 데이터분석)",서울강남구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44564380," [주3일/유연/IT]기획/백엔드/프론트/퍼블리싱/디자인/영업  채용",서울강서구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44818192," 기술본부 신입 및 경력 채용",서울구로구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44795801," [대구]인문계열 졸업청년 취업경로 전환지원사업(정규직모집)",대구달서구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44701448," [주3일/유연/IT] 전분야 상시 채용",서울강서구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44756560," [한국신용데이터] 부문별 수시채용 모음",서울강남구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44835244," 금융 IT 직무 신입 / 경력 및 영업, 컨설팅, 사업관리 모집",서울구로구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44806448," [현대자동차 사내벤처 ㈜피트릭스] 백엔드/유니티 개발자 채용",서울강남구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44728126," [대전]리튬배터리 전문기업 신입사원 모집(R&D 설계·FW·HW)",대전유성구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44578088," [강남역] 프론트엔드 개발자",서울강남구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44798360," AI 신약 개발 R&D 연구원 채용 모집 (정규직 전환 인턴)",서울강남구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44844192," jsp & java & API연동 웹프로그래머 채용 공고 (신입 정규직)",서울서초구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44659065," [패스오더] 급성장중인 스타트업 '데브옵스 엔지니어' 채용",서울강남구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44687511," 라이브커머스 구축 프로젝트 인턴 채용 (정규직 전환 가능)",서울강남구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44631446," [더블다운인터액티브] 2022 대규모 채용",서울강남구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44830949," JAVA 시계열자료 시각화 및 웹개발자",부산북구
